Iteration	Mean	Median	PI
1 	 3.667759 	 3.625841 	 2.305327 5.164175 
2 	 3.405375 	 3.359512 	 1.8953 5.061131 
3 	 4.241768 	 4.186989 	 2.56313 6.092658 
4 	 2.822613 	 2.77785 	 1.372356 4.415066 
5 	 3.510462 	 3.472171 	 2.208255 4.949286 
6 	 3.589452 	 3.539635 	 2.256269 5.068827 
7 	 4.18714 	 4.149458 	 2.750291 5.749699 
8 	 2.437974 	 2.416113 	 1.288879 3.65437 
9 	 3.263693 	 3.192504 	 1.845403 4.896104 
10 	 3.037656 	 2.998959 	 1.718033 4.495835 
